"Nome","Volume Médio (3m)","Valor de Mercado","Receita","Relação P/L","Beta"
"Zimmer Biomet","2,12M","17,59B","8,01B","21,99","0,61"
"CSX","13,46M","74,24B","14,09B","25,94","1,30"
"ICE","3,41M","95,57B","9,93B","28,57","1,06"
"Southwest Airlines","9,67M","27,16B","28,06B","66,63","1,15"
"Illinois Tool Works","1,29M","83,63B","16,04B","27,76","1,16"
"Darden Restaurants","1,62M","24,59B","12,58B","22,38","0,66"
"Truist Financial Corp","8,71M","69,61B","18,43B","13,17","0,874"
"Halliburton","12,26M","28,48B","22,18B","22,52","0,79"
"Prologis","3,49M","129,5B","9,19B","39,23","1,42"
"McCormick&Co","3,37M","17,97B","6,84B","21,60","0,613"
"Host Hotels Resorts","8,12M","13,23B","5,95B","18,02","1,21"
"Estee Lauder","3,68M","34,83B","14,67B","-237,37","1,18"
"International Paper","5,87M","23,43B","23,63B","-7,90","1,06"
"Emerson","2,82M","84,83B","18,19B","38,56","1,25"
"Clorox","2,36M","14,22B","6,76B","19,22","0,607"
"ConocoPhillips","7,9M","128,62B","61,55B","16,94","0,327"
"Colgate-Palmolive","6,75M","76,48B","20,38B","36,03","0,30"
"Pinnacle West","1,25M","11,32B","5,31B","19,29","0,54"
"Regions Financial","14,07M","26,47B","7,07B","10,55","1,04"
"CenterPoint Energy","4,71M","26,26B","9,11B","25,56","0,58"
"MetLife","3,74M","49,36B","77,08B","16,24","0,738"
"Exelon","7,36M","44,51B","24,32B","15,77","0,55"
"Baxter","8,48M","11,19B","11,02B","-32,42","0,61"
"Occidental","10,34M","44,42B","26,60B","32,73","0,39"
"Southern","5,6M","100,29B","28,91B","22,61","0,44"
"Tapestry","2,91M","28,99B","7,51B","53,44","1,66"
"Lennar","5,77M","28,22B","34,19B","14,10","1,46"
"Campbell’s","6,95M","8,56B","10,16B","13,92","-0,04"
"State Street","2,01M","35,92B","13,89B","13,75","1,45"
"Progressive","3,44M","121,65B","87,64B","10,86","0,34"
"Vulcan Materials","973,84K","41,06B","7,88B","36,81","1,07"
"Parker-Hannifin","688,65K","122,13B","20,46B","35,34","1,24"
"Genuine Parts","1,11M","20,34B","24,06B","25,48","0,73"
"CBRE A","1,35M","48,71B","39,33B","41,14","1,36"
"DuPont De Nemours","5,14M","19,14B","12,84B","26,38","1,11"
"Sherwin-Williams","1,8M","88,98B","23,57B","35,38","1,26"
"Pfizer","59,24M","150,61B","62,58B","19,53","0,44"
"Wells Fargo&Co","14,82M","284,55B","87,31B","14,69","1,09"
"Walmart","29,4M","1,01T","703,06B","44,56","0,64"
"Edison","3,04M","24,51B","18,09B","8,32","0,83"
"Snap-On","296,38K","19,28B","5,16B","19,95","0,774"
"Equifax","1,63M","23B","6,07B","34,03","1,56"
"McKesson","729,24K","117,32B","397,96B","23,66","0,413"
"Entergy","2,54M","43,82B","12,73B","23,92","0,62"
"CMS Energy","2,52M","22,17B","8,54B","20,28","0,471"
"Ameriprise Financial","615,41K","48,85B","18,51B","14,73","1,26"
"AIG","4,95M","40,99B","27,12B","13,65","0,63"
"Ralph Lauren A","648,9K","20,54B","7,83B","24,19","1,55"
"IFF","2,05M","18,81B","11,07B","-39,87","1,06"
"WW Grainger","286,59K","56,26B","17,94B","33,62","1,11"
"Constellation Brands A","2,62M","28,71B","9,38B","26,20","0,44"
"American Tower","3,23M","80,28B","10,45B","27,47","0,92"
"Philip Morris","5,71M","283,31B","39,99B","32,87","0,44"
"Fidelity National Info","3,35M","26,32B","10,46B","151,84","0,93"
"Altria","9,76M","109,77B","20,14B","15,83","0,50"
"Ball","2,7M","17,74B","13,16B","20,05","1,14"
"Hartford","1,5M","39,4B","28,37B","10,72","0,61"
"Hershey Co","1,75M","45,5B","11,69B","47,42","0,187"
"Morgan Stanley","6,06M","278,35B","70,30B","17,25","1,20"
"PNC Financial","2,3M","93,12B","25,31B","14,38","0,99"
"Waste Management","2,08M","91,29B","25,20B","33,84","0,59"
"Cencora Inc","1,41M","68,51B","325,78B","39,61","0,685"
"Assurant","317,12K","12,14B","12,57B","14,89","0,58"
"Kroger","6,6M","42,19B","147,23B","57,28","0,60"
"Molson Coors Brewing B","3,31M","10,1B","11,21B","-4,72","0,44"
"Home Depot","4,6M","380,65B","166,19B","26,22","1,05"
"Becton Dickinson","2,13M","58,84B","21,84B","35,51","0,29"
"JM Smucker","1,61M","11,66B","8,77B","-9,70","0,21"
"Best Buy","4,35M","14,29B","41,83B","22,55","1,43"
"Archer-Daniels-Midland","3,36M","31,44B","80,27B","29,39","0,68"
"Brown Forman","4,95M","13,5B","3,89B","16,97","0,41"
"IBM","4,33M","270,97B","67,54B","25,99","0,70"
"Union Pacific","3,25M","149,15B","24,51B","20,99","1,00"
"Micron","31,76M","430,95B","42,31B","36,00","1,51"
"Avery Dennison","699,58K","14,91B","8,86B","21,98","0,986"
"CF Industries","2,42M","14,24B","6,74B","11,19","0,67"
"APA Corp","6,36M","9,39B","9,38B","6,40","0,76"
"Duke Energy","3,68M","95,97B","31,24B","19,47","0,48"
"KeyCorp","16,36M","25,02B","8,39B","14,93","1,08"
"Labcorp Holdings","784,15K","23,07B","13,77B","27,31","0,87"
"BXP Inc","1,57M","11,18B","3,36B","36,39","1,03"
"Western Digital","9,13M","88,21B","10,73B","24,18","1,85"
"PPG Industries","2,16M","27,92B","15,88B","18,09","1,16"
"S&P Global","1,68M","136,78B","15,01B","32,82","1,21"
"Williams","7,02M","82,33B","11,58B","34,67","0,66"
"Elevance Health","1,6M","73,84B","199,13B","13,20","0,52"
"Jacobs Engineering","1,01M","16,88B","12,39B","37,67","0,766"
"Eastman Chemical","1,72M","8,67B","8,75B","18,62","1,24"
"Verizon","29,12M","198,62B","138,19B","11,62","0,33"
