"Nome","Volume Médio (3m)","Valor de Mercado","Receita","Relação P/L","Beta"
"Corpay","601,27K","23,44B","4,53B","19,98","0,808"
"Packaging America","889,86K","20,73B","8,99B","26,96","0,89"
"Arthur J Gallagher","1,79M","62,38B","13,01B","42,43","0,67"
"Church&Dwight","2,54M","24,16B","6,20B","33,31","0,468"
"Generac","1,06M","10,12B","4,35B","32,70","1,81"
"Global Payments","2,79M","19,95B","10,08B","10,73","0,82"
"Realty Income","6,38M","58,46B","5,61B","59,29","0,81"
"AO Smith","1,37M","10,88B","3,83B","20,38","1,35"
"Arch Capital","2,18M","36,82B","19,54B","9,58","0,43"
"Cboe Global","768,89K","28,81B","4,62B","29,71","0,36"
"Copart","8,93M","38,6B","4,66B","24,47","1,11"
"Old Dominion Freight Line","2,28M","42,27B","5,50B","43,09","1,27"
"Synopsys","2,15M","78,52B","7,05B","51,23","1,12"
"Trimble","1,57M","15,22B","3,60B","43,63","1,60"
"Ulta Beauty","664,72K","30,07B","11,98B","25,77","0,87"
"Verisk","1,39M","25,74B","3,03B","28,53","0,81"
"AbbVie","6,38M","387,09B","61,16B","95,62","0,334"
"Diamondback","1,8M","47,19B","14,63B","11,53","0,58"
"Norwegian Cruise Line","17,48M","9,88B","9,69B","15,45","2,10"
"Zoetis Inc","5,2M","55,85B","9,40B","21,31","0,97"
"IQVIA Holdings","1,44M","30,69B","16,31B","25,83","1,36"
"ServiceNow Inc","12,54M","107,35B","13,28B","62,02","0,98"
"Palo Alto Networks","6,34M","107,87B","9,56B","99,15","0,77"
"KKR & Co","4,98M","88,41B","25,82B","41,45","2,00"
"CDW Corp","1,7M","18,33B","22,42B","17,09","1,05"
"Hilton Worldwide","1,73M","71,76B","4,87B","44,76","1,17"
"Allegion PLC","830,16K","15,13B","3,98B","23,89","1,08"
"Alphabet C","23,64M","4,01T","402,84B","30,81","1,09"
"Paycom","923,06K","7,23B","2,00B","16,30","0,83"
"Arista Networks","7,86M","162,03B","8,45B","49,20","1,39"
"Synchrony Financial","3,96M","25,7B","9,76B","8,00","1,42"
"Citizens Financial Group Inc","4,9M","28,6B","9,66B","17,25","1,09"
"Keysight Technologies","1,16M","37,99B","5,38B","44,40","1,18"
"Qorvo Inc","1,29M","7,67B","3,74B","22,86","1,36"
"Godaddy Inc","1,49M","12,99B","4,87B","16,60","0,94"
"Shopify Inc","8,33M","144,82B","10,70B","82,50","2,82"
"PayPal","18,48M","36,73B","33,17B","7,58","1,42"
"Hewlett Packard","23,49M","30,31B","34,30B","-510,31","1,35"
"Match Group","3,78M","7,18B","3,49B","12,86","1,31"
"Fortive","3,4M","18,87B","4,16B","37,82","1,03"
"Lamb Weston Holdings","2,68M","6,59B","6,47B","17,17","0,43"
"Invitation Homes","6,09M","16,25B","2,69B","27,87","0,83"
"Vistra Energy","5,08M","48,48B","17,19B","51,25","1,40"
"VICI Properties","12,25M","30,72B","3,97B","10,92","0,71"
"Moderna","11,72M","15,97B","2,23B","-5,01","1,11"
"Uber Tech","20,11M","156,27B","52,02B","15,63","1,21"
"Fox Corp A","3,43M","26,52B","16,58B","16,22","0,511"
"Fox Corp B","1,47M","26,52B","16,58B","16,22","0,511"
"CrowdStrike Holdings","2,55M","95,08B","4,57B","-304,30","1,03"
"Corteva","3,7M","48,71B","17,40B","42,93","0,737"
"Amcor PLC","5,03M","21,61B","19,61B","32,99","0,668"
"Trane Technologies","1,55M","96,71B","21,32B","33,21","1,22"
"Otis Worldwide","2,92M","35,56B","14,43B","26,17","1,01"
"Carrier Global","7,81M","52,76B","21,75B","37,60","1,33"
"Howmet","2,35M","84,28B","7,98B","58,92","1,29"
"Palantir","45,45M","309,87B","4,48B","189,43","1,69"
"Airbnb","4,73M","73,53B","11,94B","28,98","1,11"
"DoorDash","5,28M","79,24B","12,64B","98,49","1,70"
"Applovin","4,88M","126,81B","6,31B","45,56","2,51"
"Robinhood Markets","26,91M","65,35B","4,20B","30,67","2,42"
"Constellation Energy","3,09M","89,52B","24,84B","32,91","1,15"
"GE HealthCare","3,59M","37,51B","20,63B","17,31","1,23"
"Kenvue","42,45M","34,62B","15,01B","24,06",""
"Veralto","1,75M","22,54B","5,50B","25,92","1,11"
"Linde PLC","2,76M","214,49B","33,50B","30,74","0,86"
"GE Vernova LLC","3,33M","198,79B","38,07B","41,00","1,41"
"Solventum","1,07M","13,35B","8,40B","9,88","0,58"
"Amentum Holdings LLC","2,28M","8,87B","14,39B","124,56","1,22"
